Timestamp,State
24-12-27_16-22-18-695729,ON
24-12-27_16-22-18-770926,OFF
24-12-27_16-22-18-838990,ON
24-12-27_16-22-18-907588,OFF
24-12-27_16-22-18-976356,ON
24-12-27_16-22-19-044667,OFF
24-12-27_16-22-19-113585,ON
24-12-27_16-22-19-183787,OFF
24-12-27_16-22-19-252611,ON
24-12-27_16-22-19-320160,OFF
24-12-27_16-22-19-389058,ON
24-12-27_16-22-19-458461,OFF
24-12-27_16-22-19-525619,ON
24-12-27_16-22-19-593112,OFF
24-12-27_16-22-19-663697,ON
24-12-27_16-22-19-736224,OFF
24-12-27_16-22-19-803468,ON
24-12-27_16-22-19-870529,OFF
24-12-27_16-22-19-938605,ON
24-12-27_16-22-20-007675,OFF
24-12-27_16-22-20-073548,ON
24-12-27_16-22-20-142701,OFF
24-12-27_16-22-20-211360,ON
24-12-27_16-22-20-279227,OFF
24-12-27_16-22-20-349325,ON
24-12-27_16-22-20-418791,OFF
24-12-27_16-22-20-487430,ON
24-12-27_16-22-20-554988,OFF
24-12-27_16-22-20-623910,ON
24-12-27_16-22-20-692651,OFF
24-12-27_16-22-20-761018,ON
24-12-27_16-22-20-829561,OFF
24-12-27_16-22-20-899151,ON
24-12-27_16-22-20-969466,OFF
24-12-27_16-22-21-039245,ON
24-12-27_16-22-21-109201,OFF
24-12-27_16-22-21-177741,ON
24-12-27_16-22-21-245364,OFF
24-12-27_16-22-21-313807,ON
24-12-27_16-22-21-383047,OFF
24-12-27_16-22-21-451382,ON
24-12-27_16-22-21-519939,OFF
24-12-27_16-22-21-586901,ON
24-12-27_16-22-21-668291,OFF
24-12-27_16-22-21-738018,ON
24-12-27_16-22-21-805005,OFF
24-12-27_16-22-21-873265,ON
24-12-27_16-22-21-942410,OFF
24-12-27_16-22-22-010352,ON
24-12-27_16-22-22-078347,OFF
24-12-27_16-22-22-146325,ON
24-12-27_16-22-22-213863,OFF
24-12-27_16-22-22-284609,ON
24-12-27_16-22-22-351961,OFF
24-12-27_16-22-22-419176,ON
24-12-27_16-22-22-487752,OFF
24-12-27_16-22-22-555276,ON
24-12-27_16-22-22-623038,OFF
24-12-27_16-22-22-691447,ON
24-12-27_16-22-22-760855,OFF
24-12-27_16-22-22-836313,ON
24-12-27_16-22-22-903307,OFF
24-12-27_16-22-22-970198,ON
24-12-27_16-22-23-040782,OFF
24-12-27_16-22-23-108355,ON
24-12-27_16-22-23-179061,OFF
24-12-27_16-22-23-250395,ON
24-12-27_16-22-23-319210,OFF
24-12-27_16-22-23-386074,ON
24-12-27_16-22-23-462441,OFF
24-12-27_16-22-23-535025,ON
24-12-27_16-22-23-603469,OFF
24-12-27_16-22-23-671227,ON
24-12-27_16-22-23-742323,OFF
24-12-27_16-22-23-810803,ON
24-12-27_16-22-23-882063,OFF
24-12-27_16-22-23-951393,ON
24-12-27_16-22-24-022289,OFF
24-12-27_16-22-24-090732,ON
24-12-27_16-22-24-160114,OFF
24-12-27_16-22-24-229270,ON
24-12-27_16-22-24-298160,OFF
24-12-27_16-22-24-367687,ON
24-12-27_16-22-24-435802,OFF
24-12-27_16-22-24-507804,ON
24-12-27_16-22-24-574947,OFF
24-12-27_16-22-24-642730,ON
24-12-27_16-22-24-710181,OFF
24-12-27_16-22-24-778525,ON
24-12-27_16-22-24-851357,OFF
24-12-27_16-22-24-919174,ON
24-12-27_16-22-24-985963,OFF
24-12-27_16-22-25-053023,ON
24-12-27_16-22-25-123452,OFF
24-12-27_16-22-25-190234,ON
24-12-27_16-22-25-261417,OFF
24-12-27_16-22-25-330287,ON
24-12-27_16-22-25-404021,OFF
24-12-27_16-22-25-471317,ON
24-12-27_16-22-25-542063,OFF
24-12-27_16-22-25-610235,ON
24-12-27_16-22-25-677348,OFF
24-12-27_16-22-25-745565,ON
24-12-27_16-22-25-814140,OFF
24-12-27_16-22-25-884179,ON
24-12-27_16-22-25-971566,OFF
24-12-27_16-22-26-061155,ON
24-12-27_16-22-26-129604,OFF
24-12-27_16-22-26-198284,ON
24-12-27_16-22-26-266507,OFF
24-12-27_16-22-26-336141,ON
24-12-27_16-22-26-404183,OFF
24-12-27_16-22-26-481632,ON
24-12-27_16-22-26-550332,OFF
24-12-27_16-22-26-618266,ON
24-12-27_16-22-26-687422,OFF
24-12-27_16-22-26-755045,ON
24-12-27_16-22-26-823640,OFF
24-12-27_16-22-26-892006,ON
24-12-27_16-22-26-959035,OFF
24-12-27_16-22-27-027525,ON
24-12-27_16-22-27-094437,OFF
24-12-27_16-22-27-169523,ON
24-12-27_16-22-27-236819,OFF
24-12-27_16-22-27-305858,ON
24-12-27_16-22-27-385538,OFF
24-12-27_16-22-27-494072,ON
24-12-27_16-22-27-561614,OFF
24-12-27_16-22-27-634833,ON
24-12-27_16-22-27-702384,OFF
24-12-27_16-22-27-773528,ON
24-12-27_16-22-27-841421,OFF
24-12-27_16-22-27-910099,ON
24-12-27_16-22-27-981513,OFF
24-12-27_16-22-28-050476,ON
24-12-27_16-22-28-118358,OFF
24-12-27_16-22-28-186453,ON
24-12-27_16-22-28-256869,OFF
24-12-27_16-22-28-327344,ON
24-12-27_16-22-28-395419,OFF
24-12-27_16-22-28-470258,ON
24-12-27_16-22-28-539788,OFF
24-12-27_16-22-28-608590,ON
24-12-27_16-22-28-676755,OFF
24-12-27_16-22-28-745209,ON
24-12-27_16-22-28-820811,OFF
24-12-27_16-22-28-887603,ON
24-12-27_16-22-28-956695,OFF
24-12-27_16-22-29-024269,ON
24-12-27_16-22-29-092016,OFF
24-12-27_16-22-29-162116,ON
24-12-27_16-22-29-233596,OFF
24-12-27_16-22-29-301139,ON
24-12-27_16-22-29-369253,OFF
24-12-27_16-22-29-460832,ON
24-12-27_16-22-29-528233,OFF
24-12-27_16-22-29-595967,ON
24-12-27_16-22-29-665052,OFF
24-12-27_16-22-29-735813,ON
24-12-27_16-22-29-803370,OFF
24-12-27_16-22-29-888735,ON
24-12-27_16-22-29-956797,OFF
24-12-27_16-22-30-027405,ON
24-12-27_16-22-30-094636,OFF
24-12-27_16-22-30-173736,ON
24-12-27_16-22-30-242745,OFF
24-12-27_16-22-30-318329,ON
24-12-27_16-22-30-385439,OFF
24-12-27_16-22-30-456911,ON
24-12-27_16-22-30-525406,OFF
24-12-27_16-22-30-593605,ON
24-12-27_16-22-30-674907,OFF
24-12-27_16-22-30-743420,ON
24-12-27_16-22-30-820644,OFF
24-12-27_16-22-30-887081,ON
24-12-27_16-22-30-954619,OFF
24-12-27_16-22-31-022196,ON
24-12-27_16-22-31-091704,OFF
24-12-27_16-22-31-159080,ON
24-12-27_16-22-31-228147,OFF
24-12-27_16-22-31-295123,ON
24-12-27_16-22-31-370947,OFF
24-12-27_16-22-31-437873,ON
24-12-27_16-22-31-505566,OFF
24-12-27_16-22-31-574149,ON
24-12-27_16-22-31-642300,OFF
24-12-27_16-22-31-719291,ON
24-12-27_16-22-31-787917,OFF
24-12-27_16-22-31-868978,ON
24-12-27_16-22-31-957118,OFF
24-12-27_16-22-32-024108,ON
